Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road Width,Road Type,Posted,Amenities,Category,Type,Latitude,Longitude
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,80000000,5,3,2,21,East,2073,26,21 Aana,20 Feet , Blacktopped,12 hours ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.70213562,85.34998416
"House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,5,3,2,10,East,2071,154,10 Aana,20 Feet , Blacktopped,2 days ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.74687693,85.30772035
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","Baluwatar, Kathmandu",Kathmandu,13000000,6,4,3,9,West,2017,17,10.1 Aana,20 Feet , Blacktopped,1 day ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.74349612,85.32941393
"Golfutar Height 10 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,90000000,6,3,2,10,East,2070,59,19.2 Aana,20 Feet , Blacktopped,2 days ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.74166969,85.33962161
House For Sale Dadathok Lubhu Lalitpur,"Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3,1,South East,2019,317,3.2 Aana,11 Feet , Gravelled,3 days ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.75617487,85.34561327
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2,9,East,2073,618,8.5 Aana,20 Feet , Blacktopped,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",Residential,Sale,27.71435083,85.35101024
"Hotel Rupa Begnas Lake Inn : House For Sale In Lekhnath, Pokhara"," Lekhnath, Pokhara",Pokhara,32000000,4,5,3,3,South West,2075,922,14 Aana,15 Feet , Blacktopped,3 weeks ago,"['Parking', 'Backyard']",Residential,Sale,27.73048126,85.31418949
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3,1,East,2076,1.1K,4 Aana,13 Feet , Paved,1 month ago,['Parking'],Residential,Sale,27.70455372,85.32849144
Sitapaila Modern Semi Bungalow,"Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056,2.8K,6 Aana,20 Feet , Blacktopped,2 months ago,"[ 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",Rssidential,Sale,27.75442022,85.28402347
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3,1,East,2076,3.2K,3.2 Aana,10 Feet , Gravelled,1 month ago,"[ 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",Residential,Sale,27.6999844,85.33823149
